country,year,pop_adult,any_account_share,formal_account_share,mobile_account_share,saved_formal,active_accounts,registered_accounts,agents_per_100k,active_accounts_per_1000,mobile_to_formal_ratio,delta_active_accounts,delta_mobile_account_share,sadc_mobile_avg,relative_penetration_index
Malta,2014,364279.0,0.963279934,0.963279934,,0.713668377,,,,,,,,0.1794154358955224,
Mauritania,2014,2084692.0,0.228658822,0.204453831,0.06480396,0.412015165,,,,,0.3169613388168794,,,0.1794154358955224,-0.1146114758955224
Mauritius,2014,1010413.0,0.822082722,0.822082722,0.008643314,0.541564802,,,,,0.010513922466308688,,,0.1794154358955224,-0.17077212189552238
Mexico,2014,84399247.0,0.391408432,0.386953463,0.034240299,0.583820777,,,,,0.08848686540892904,,,0.1794154358955224,-0.1451751368955224
Moldova,2014,2361002.0,0.177557472,0.177557472,,0.441053236,,,,,,,,0.1794154358955224,
Mongolia,2014,2074233.0,0.918217819,0.918217819,0.049979871,0.473280371,,,,,0.0544313886812079,,,0.1794154358955224,-0.12943556489552238
Montenegro,2014,504976.0,0.598260088,0.598260088,,0.268002977,,,,,,,,0.1794154358955224,
Myanmar,2014,36618649.0,0.22784195,0.226204029,0.001637921,0.4666155,,,,,0.00724090108934355,,,0.1794154358955224,-0.1777775148955224
Namibia,2014,1427950.0,0.588338977,0.580632429,0.103590939,0.56943062,,,,,0.1784105293230186,,,0.1794154358955224,-0.07582449689552238
Nepal,2014,18161615.0,0.338013509,0.338013509,0.003360386,0.446701049,,,,,0.00994157307482051,,,0.1794154358955224,-0.1760550498955224
Netherlands,2014,13933854.0,0.992956045,0.992956045,,0.744827791,,,,,,,,0.1794154358955224,
New Zealand,2014,3534713.0,0.995255333,0.995255333,,0.869319684,,,,,,,,0.1794154358955224,
Nicaragua,2014,4012287.0,0.19438484,0.188548055,0.010537743,0.513601648,,,,,0.055888897925783436,,,0.1794154358955224,-0.1688776928955224
Niger,2014,9371030.0,0.067065881,0.034900444,0.038526655,0.610201762,,,,,1.1039015721404575,,,0.1794154358955224,-0.1408887808955224
Nigeria,2014,100567840.0,0.444419847,0.441732003,0.022949613,0.689753301,,,,,0.05195370234472235,,,0.1794154358955224,-0.15646582289552238
North Macedonia,2014,1565432.0,0.717984973,0.717984973,,0.392274297,,,,,,,,0.1794154358955224,
Norway,2014,4150602.0,1.0,1.0,,0.897880783,,,,,,,,0.1794154358955224,
Pakistan,2014,128875593.0,0.130361911,0.087061384,0.057997994,0.315578853,,,,,0.6661735816191481,,,0.1794154358955224,-0.1214174418955224
Panama,2014,2737867.0,0.436621402,0.43403554,0.015579504,0.624865535,,,,,0.03589453527238806,,,0.1794154358955224,-0.1638359318955224
Peru,2014,21413567.0,0.28975232,0.28975232,0.0,0.393173335,,,,,0.0,,,0.1794154358955224,-0.1794154358955224
Philippines,2014,66911959.0,0.312858339,0.280657249,0.042258738,0.673395874,,,,,0.15057062716381145,,,0.1794154358955224,-0.1371566978955224
Poland,2014,32293711.0,0.778621706,0.778621706,,0.465528893,,,,,,,,0.1794154358955224,
Portugal,2014,8911922.0,0.873863542,0.873863542,,0.533266925,,,,,,,,0.1794154358955224,
Puerto Rico,2014,2955855.0,0.697352646,0.697352646,,0.442193803,,,,,,,,0.1794154358955224,
Romania,2014,16846776.0,0.608371569,0.607945378,0.00462934,0.364787738,,,,,0.007614730150970898,,,0.1794154358955224,-0.17478609589552238
Russian Federation,2014,120673872.0,0.673830915,0.673830915,,0.407148422,,,,,,,,0.1794154358955224,
Rwanda,2014,6472142.0,0.421169126,0.381448873,0.180976852,0.551771713,,,,,0.4744458951383505,,,0.1794154358955224,0.0015614161044776032
Saudi Arabia,2014,20496432.0,0.694095879,0.694095879,,0.453544806,,,,,,,,0.1794154358955224,
Senegal,2014,7858967.0,0.154245721,0.119218113,0.061883609,0.590461648,,,,,0.5190789171440753,,,0.1794154358955224,-0.11753182689552238
Serbia,2014,6141282.0,0.830923383,0.830923383,,0.277125407,,,,,,,,0.1794154358955224,
